"","Correlation_Coefficient","P_value","qval","Significance","Groups","Total_features","Feature_ids","Annotations","Functional_Theme"
"Group22983",0.327486798879555,7.82767171819303e-05,0.000698084902589816,"Significant","Group22983",1,"pfam__Arginase","Pfam_id: PF00491 name: Arginase family","Arginine and polyamine metabolism"
"Group23665",-0.115602359543099,0.173789719457999,0.235871768015436,"Non-significant","Group23665",1,"pfam__IF3_N","Pfam_id: PF05198 name: Translation initiation factor IF-3, N-terminal domain","Translation and protein synthesis"
"Group23793",0.14669254303716,0.0837201639501942,0.14774146579446,"Non-significant","Group23793",1,"pfam__MGS","Pfam_id: PF02142 name: MGS-like domain","Protein interaction and regulatory domains"
"Group23941",0.0425201530085134,0.617905946057904,0.66204208506204,"Non-significant","Group23941",1,"pfam__PEPCK_ATP","Pfam_id: PF01293 name: Phosphoenolpyruvate carboxykinase","Central carbon metabolism"
"Group24017",0.316431317334771,0.000139616980517963,0.000698084902589816,"Significant","Group24017",1,"pfam__PKD","Pfam_id: PF00801 name: PKD domain","Cell-surface adhesion and protein interaction"
"Group24517",0.135242527974868,0.111116849405576,0.175447656956173,"Non-significant","Group24517",1,"pfam__AAA_29","Pfam_id: PF13555 name: P-loop containing region of AAA domain","ATPase and ATP-dependent functions"
"Group25071",0.317665541568765,0.00013102728926895,0.000698084902589816,"Significant","Group25071",1,"pfam__WYL","Pfam_id: PF10902 name: WYL_2, Sm-like SH3 beta-barrel fold","Nucleic acid binding and regulatory functions"
"Group25136",0.229673048241854,0.00633814614017903,0.0146264910927208,"Significant","Group25136",1,"pfam__dTDP_sugar_isom","Pfam_id: PF00908 name: dTDP-4-dehydrorhamnose 3,5-epimerase","Cell-surface carbohydrate biosynthesis"
"Group25695",0.0503771573023565,0.554452064637179,0.619956740031072,"Non-significant","Group25695",1,"pfam__MutH","Pfam_id: PF02976 name: DNA mismatch repair enzyme MutH","DNA replication and repair"
"Group25754",0.195205884901389,0.0208173495876344,0.0416346991752689,"Significant","Group25754",1,"pfam__WHG","WHG domain, a conserved C-terminal domain associated with TetR-family transcriptional regulators","Signal transduction and transcriptional regulation"
"Group26970",0.236979783173794,0.00481560601443255,0.0120390150360814,"Significant","Group26970",1,"pfam__COX1","Pfam_id: PF00115 name: Cytochrome C and Quinol oxidase polypeptide I","Respiratory energy metabolism"
"Group29403",0.132527502219663,0.11854232298635,0.177813484479525,"Non-significant","Group29403",1,"pfam__DDE_Tnp_4","Pfam_id: PF13359 name: DDE superfamily endonuclease","Mobile genetic elements and DNA recombination"
