"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","quadrant","quadrant2","quadrant3"
"Klebsiella_pneumoniae",0.423287671232877,0.750967689854897,0.807689725546323,0.532514344106883,0.805220883534137,"Q4","Q1","Q4"
"Prevotella_sp_oral_taxon_306",0.552054794520548,0.517299449052491,0.967567642092025,0.52888456420851,0.803212851405622,"Q4","Q4","Q3"
"Campylobacter_gracilis",0.857534246575342,0.762024681641137,0.407490421258259,0.525668508052552,0.801204819277108,"Q2","Q2","Q1"
"Treponema_socranskii",0.797260273972603,0.769056628524147,0.403096704046538,0.525083345539075,0.799196787148594,"Q2","Q2","Q1"
"Leptotrichia_shahii",0.76986301369863,0.442506912070392,0.683515612656499,0.522843145599094,0.79718875502008,"Q2","Q3","Q2"
"Actinomyces_lingnae",0.938356164383562,0.581682206211782,0.485116694556557,0.517305198441632,0.795180722891566,"Q2","Q3","Q2"
"Porphyromonas_endodontalis",0.836986301369863,0.444754293556134,0.65605390044793,0.515187495853399,0.793172690763052,"Q2","Q3","Q2"
"Olsenella_profusa",0.66027397260274,0.852407014994652,0.43923714713143,0.5129160889552,0.791164658634538,"Q3","Q2","Q4"
"Streptococcus_salivarius",0.857534246575342,0.561162539605659,0.487185091392384,0.511844240796809,0.789156626506024,"Q2","Q3","Q2"
"Olsenella_uli",0.591780821917808,0.510680208270267,0.512020898270495,0.51112710493701,0.78714859437751,"Q3","Q3","Q3"
"Capnocytophaga_granulosa",0.782191780821918,0.373532017517305,0.866946558701813,0.509751938618843,0.785140562248996,"Q1","Q4","Q2"
"Fretibacterium_fastidiosum",0.80958904109589,0.579987588545135,0.473688706512106,0.509121667189782,0.783132530120482,"Q2","Q3","Q2"
"Aggregatibacter_sp_oral_taxon_458",0.505479452054794,0.702434965994632,0.515711653467608,0.508890185859066,0.781124497991968,"Q3","Q2","Q4"
"Soonwooa_buanensis",0.423287671232877,0.769282355552865,0.672875367976724,0.506483570147492,0.779116465863454,"Q3","Q2","Q4"
"Neisseria_shayeganii",0.423287671232877,0.751955056406531,0.666368164675514,0.504314502380422,0.77710843373494,"Q3","Q2","Q4"
"Prevotella_histicola",0.978082191780822,0.348705374260863,0.81456712170537,0.503992623409032,0.775100401606426,"Q1","Q4","Q2"
"Sneathia_sanguinegens",0.423287671232877,0.662307723355735,0.803315186479379,0.502961021940496,0.773092369477912,"Q4","Q4","Q3"
"Treponema_pedis",0.505479452054794,0.760590906338924,0.49720341425475,0.499962093521432,0.771084337349398,"Q3","Q2","Q4"
"Butyrivibrio_fibrisolvens",0.423287671232877,0.858649875885451,0.65152282285642,0.499366055107391,0.769076305220884,"Q3","Q2","Q4"
"Oribacterium_parvum",0.423287671232877,0.649678210328752,0.975851999543506,0.498751184264835,0.767068273092369,"Q4","Q4","Q3"
"Bacteroides_intestinalis",0.423287671232877,0.640354382353535,0.701655951280078,0.495643241606429,0.765060240963855,"Q4","Q4","Q3"
"Streptococcus_infantis",0.749315068493151,0.354649855704224,0.796974808504516,0.486204926633866,0.763052208835341,"Q1","Q4","Q2"
"Prevotella_copri",0.591780821917808,0.666522875421283,0.428181983673063,0.482714929754645,0.761044176706827,"Q3","Q3","Q3"
"Neisseria_bacilliformis",0.552054794520548,0.445345300801195,0.565320677943029,0.480915132040979,0.759036144578313,"Q3","Q3","Q3"
"Neisseria_canis",0.423287671232877,0.589109806058404,0.801852140840445,0.478561716174719,0.757028112449799,"Q4","Q4","Q3"
"Johnsonella_ignava",0.505479452054794,0.462497225081229,0.905433009324434,0.476824634072418,0.755020080321285,"Q4","Q4","Q3"
"Actinomyces_georgiae",0.671232876712329,0.771372827995399,0.36573732237012,0.467569173817523,0.753012048192771,"Q3","Q2","Q4"
"Prevotella_pleuritidis",0.621917808219178,0.838305281427216,0.390364999230828,0.467549268893612,0.751004016064257,"Q3","Q2","Q4"
"Eubacterium_brachy",0.741095890410959,0.691732053843515,0.353227319615594,0.466062231024901,0.748995983935743,"Q2","Q3","Q2"
"Actinobacillus_rossii",0.423287671232877,0.853108918084398,0.531794893972754,0.459456745479502,0.746987951807229,"Q3","Q2","Q4"
"Peptostreptococcus_stomatis",0.947945205479452,0.241425702811245,0.892294784793665,0.458382063472052,0.744979919678715,"Q1","Q4","Q2"
"Treponema_denticola",0.757534246575343,0.640433997295715,0.366528539136995,0.457830358523235,0.742971887550201,"Q2","Q3","Q2"
"Selenomonas_infelix",0.76986301369863,0.301142459284374,0.801867886787957,0.457382644089126,0.740963855421687,"Q1","Q4","Q2"
"Actinomyces_sp_HMSC035G02",0.505479452054794,0.432126495933483,0.863395539494457,0.456577481307253,0.738955823293173,"Q4","Q4","Q3"
"Filifactor_alocis",0.782191780821918,0.366305422695808,0.623174629771452,0.451928491721023,0.736947791164659,"Q2","Q3","Q2"
"Veillonella_denticariosi",0.423287671232877,0.613781457488244,0.503135623039975,0.449903655168576,0.734939759036145,"Q3","Q3","Q3"
"Selenomonas_noxia",0.80958904109589,0.389660249036346,0.567862230531559,0.449060909534751,0.732931726907631,"Q2","Q3","Q2"
"Eggerthia_catenaformis",0.423287671232877,0.588445742770075,0.498016115010628,0.448197152492127,0.730923694779116,"Q3","Q3","Q3"
"Prevotella_saccharolytica",0.693150684931507,0.317905794030393,0.842787742619985,0.442987424330764,0.728915662650602,"Q4","Q4","Q3"
"Pasteurella_pneumotropica",0.423287671232877,0.621082420132792,0.481036706807017,0.44253734975759,0.726907630522088,"Q3","Q3","Q3"
"Faecalibacterium_prausnitzii",0.552054794520548,0.587921838106194,0.386324290256598,0.441567791677915,0.724899598393574,"Q3","Q3","Q3"
"Haemophilus_influenzae",0.741095890410959,0.411153256241045,0.491960823903474,0.438089112128521,0.72289156626506,"Q2","Q3","Q2"
"Streptococcus_pyogenes",0.505479452054794,0.432126495933483,0.442614134976882,0.435622375614616,0.720883534136546,"Q3","Q3","Q3"
"Bergeyella_zoohelcum",0.423287671232877,0.606995217049101,0.456336870463577,0.434304070976443,0.718875502008032,"Q3","Q3","Q3"
"Granulicatella_elegans",0.757534246575343,0.385539545115134,0.531820247473716,0.434299779234661,0.716867469879518,"Q2","Q3","Q2"
"Prevotella_ruminicola",0.423287671232877,0.563851587253537,0.455206968151003,0.433927436872252,0.714859437751004,"Q3","Q3","Q3"
"Bacteroides_vulgatus",0.423287671232877,0.454903029202236,0.554185758464155,0.43382612388933,0.71285140562249,"Q3","Q3","Q3"
"Eubacterium_nodatum",0.693150684931507,0.633081370708967,0.333944120269551,0.433656537082689,0.710843373493976,"Q3","Q3","Q3"
"Abiotrophia_defectiva",0.782191780821918,0.293883069968315,0.712354243486311,0.433373461140981,0.708835341365462,"Q1","Q4","Q2"
"Streptococcus_thermophilus",0.96986301369863,0.793174607979657,0.252749208353057,0.432891008228591,0.706827309236948,"Q2","Q2","Q1"
"Acinetobacter_johnsonii",0.423287671232877,0.441572016710056,0.510894948966374,0.429382453058603,0.704819277108434,"Q3","Q3","Q3"
"Prevotella_baroniae",0.591780821917808,0.347384815644487,0.615478526941853,0.428850151068928,0.70281124497992,"Q3","Q3","Q3"
"Actinomyces_sp_oral_taxon_181",0.423287671232877,0.436647898125164,0.879525482605929,0.427741080196972,0.700803212851406,"Q4","Q4","Q3"
"Eubacterium_biforme",0.423287671232877,0.451000686161732,0.43638847420658,0.427654605557444,0.698795180722892,"Q3","Q3","Q3"
"Centipeda_periodontii",0.731506849315068,0.275112510342879,0.899640974157983,0.427243956666942,0.696787148594378,"Q1","Q4","Q2"
"Actinomyces_turicensis",0.423287671232877,0.432126495933483,0.617212446064296,0.426233946133079,0.694779116465863,"Q3","Q3","Q3"
"Actinomyces_sp_ICM47",0.621917808219178,0.523223446550019,0.37613545727821,0.425164787035479,0.692771084337349,"Q3","Q3","Q3"
"Fusobacterium_nucleatum",0.972602739726027,0.396339024439466,0.476615478648959,0.423097842509297,0.690763052208835,"Q2","Q3","Q2"
"Streptococcus_parasanguinis",0.923287671232877,0.38798238178846,0.491703440381675,0.422556067986199,0.688755020080321,"Q2","Q3","Q2"
"Gemella_morbillorum",0.841095890410959,0.452213073399124,0.403868682530692,0.419983479486836,0.686746987951807,"Q2","Q3","Q2"
"Dorea_longicatena",0.552054794520548,0.428259470040968,0.415267935763349,0.419598447189222,0.684738955823293,"Q3","Q3","Q3"
"Gemella_haemolysans",0.908219178082192,0.542300357207725,0.356027949288624,0.418118751928324,0.682730923694779,"Q2","Q3","Q2"
"Methylobacterium_jeotgali",0.423287671232877,0.670808459970535,0.411002222274537,0.415097371927317,0.680722891566265,"Q3","Q3","Q3"
"Atopobium_rimae",0.79041095890411,0.28931151742649,0.645968597591937,0.408197210814972,0.678714859437751,"Q2","Q3","Q2"
"Lautropia_mirabilis",0.908219178082192,0.427791366470909,0.394456258866431,0.405567961401257,0.676706827309237,"Q2","Q3","Q2"
"Leptotrichia_sp_oral_taxon_215",0.505479452054794,0.355597061613287,0.749168511727818,0.405557858427123,0.674698795180723,"Q4","Q4","Q3"
"Lachnoanaerobaculum_orale",0.845205479452055,0.213770156000888,0.781547767569737,0.403029359857171,0.672690763052209,"Q1","Q4","Q2"
"Dialister_succinatiphilus",0.423287671232877,0.581854856612379,0.390283659887038,0.401284997002318,0.670682730923695,"Q3","Q3","Q3"
"Mycoplasma_faucium",0.505479452054794,0.488877015600089,0.355193433123164,0.399754627282139,0.668674698795181,"Q3","Q3","Q3"
"Treponema_medium",0.83013698630137,0.38014288309015,0.437883780471918,0.399389848884072,0.666666666666667,"Q2","Q3","Q2"
"Prevotella_jejuni",0.591780821917808,0.302428608907994,0.736526904155935,0.398879346577932,0.664658634538153,"Q4","Q4","Q3"
"Actinomyces_gerencseriae",0.552054794520548,0.524816451736595,0.313104068304692,0.383674862781993,0.662650602409639,"Q3","Q3","Q3"
"Rothia_mucilaginosa",0.958904109589041,0.648956428729995,0.248437642328803,0.381943904462534,0.660642570281124,"Q2","Q3","Q2"
"Parvimonas_micra",0.932876712328767,0.37955671933967,0.385468693267624,0.381527377315655,0.65863453815261,"Q2","Q3","Q2"
"Eikenella_corrodens",0.797260273972603,0.299139976993401,0.544520582941109,0.380933512309304,0.656626506024096,"Q2","Q3","Q2"
"Slackia_exigua",0.552054794520548,0.294101430849024,0.794564672337108,0.380085885406199,0.654618473895582,"Q4","Q4","Q3"
"Actinomyces_hyovaginalis",0.423287671232877,0.351173639280741,0.522369660776203,0.375211649931453,0.652610441767068,"Q3","Q3","Q3"
"Prevotella_buccae",0.552054794520548,0.431808237977034,0.343276131700043,0.372786833792374,0.650602409638554,"Q3","Q3","Q3"
"Streptococcus_oligofermentans",0.552054794520548,0.531190187887227,0.269699030412945,0.356862749571039,0.64859437751004,"Q3","Q3","Q3"
"Mogibacterium_timidum",0.552054794520548,0.447279772355755,0.308988617844526,0.355085669348269,0.646586345381526,"Q3","Q3","Q3"
"Selenomonas_sputigena",0.882191780821918,0.0893065730257714,0.94895437913113,0.353601642291154,0.644578313253012,"Q1","Q4","Q2"
"Streptococcus_cristatus",0.621917808219178,0.504608181469597,0.276328098478126,0.352421459475283,0.642570281124498,"Q3","Q3","Q3"
"Treponema_succinifaciens",0.423287671232877,0.313230308167343,0.723068196732184,0.349916095855854,0.640562248995984,"Q4","Q4","Q3"
"Propionibacterium_acnes",0.423287671232877,0.698030211297451,0.313212199579676,0.349904023464076,0.63855421686747,"Q3","Q3","Q3"
"Porphyromonas_somerae",0.645205479452055,0.196074549454098,0.668372809065334,0.345784859453417,0.636546184738956,"Q3","Q3","Q3"
"Veillonella_atypica",0.947945205479452,0.0915222699844604,0.842033325300461,0.341692621756461,0.634538152610442,"Q1","Q4","Q2"
"Morococcus_cerebrosus",0.423287671232877,0.773745030372747,0.299227106266761,0.340580627922133,0.632530120481928,"Q3","Q2","Q4"
"Dialister_pneumosintes",0.720547945205479,0.31713355936308,0.380146010522824,0.338137709749662,0.630522088353414,"Q2","Q3","Q2"
"Prevotella_intermedia",0.741095890410959,0.140135113317592,0.720737616996419,0.333669281210534,0.6285140562249,"Q1","Q4","Q2"
"Bacillus_pumilus",0.591780821917808,0.668691247401667,0.20232758039837,0.332145327571516,0.626506024096386,"Q3","Q3","Q3"
"Lactococcus_lactis",0.423287671232877,0.777893079857117,0.282005434349579,0.329099513310679,0.624497991967871,"Q3","Q2","Q4"
"Bacillus_cereus",0.423287671232877,0.639985772234667,0.276675064675804,0.325545933528161,0.622489959839357,"Q3","Q3","Q3"
"Treponema_maltophilum",0.66027397260274,0.466934269742286,0.252003633182758,0.323647178702601,0.620481927710843,"Q3","Q3","Q3"
"Selenomonas_artemidis",0.741095890410959,0.170283949869831,0.626393449068243,0.322320449602635,0.618473895582329,"Q2","Q3","Q2"
"Veillonella_caviae",0.552054794520548,0.908580351556982,0.205356929614582,0.320922884583238,0.616465863453815,"Q3","Q2","Q4"
"Schwartzia_succinivorans",0.671232876712329,0.22211156182519,0.508542883834074,0.317588669161485,0.614457831325301,"Q3","Q3","Q3"
"Veillonella_dispar",0.980821917808219,0.177238804464088,0.59439898877657,0.316292199234915,0.612449799196787,"Q2","Q3","Q2"
"Actinomyces_naeslundii",0.731506849315068,0.626423886500777,0.158711961556199,0.314615936537725,0.610441767068273,"Q2","Q3","Q2"
"Prevotella_marshii",0.423287671232877,0.255919456721358,0.609407056484288,0.311708861558531,0.608433734939759,"Q3","Q3","Q3"
"Pseudomonas_putida",0.423287671232877,0.332706605315735,0.300831187463739,0.311456326747738,0.606425702811245,"Q3","Q3","Q3"
"Acinetobacter_lwoffii",0.423287671232877,0.281751528727977,0.35953908726713,0.307680714907695,0.604417670682731,"Q3","Q3","Q3"
"Kingella_potus",0.423287671232877,0.835152166454764,0.248081578005443,0.306483609081254,0.602409638554217,"Q3","Q2","Q4"
"Neisseria_sicca",0.505479452054794,0.811615103630603,0.189783952474685,0.295015785668055,0.600401606425703,"Q3","Q2","Q4"
"Bulleidia_extructa",0.505479452054794,0.20745040463361,0.459357196250483,0.291419335172567,0.598393574297189,"Q3","Q3","Q3"
"Bifidobacterium_longum",0.423287671232877,0.241849609493249,0.386770514156823,0.290156577714441,0.596385542168675,"Q3","Q3","Q3"
"Rothia_dentocariosa",0.887671232876712,0.512043147464229,0.176748609529591,0.288513455507804,0.594377510040161,"Q2","Q3","Q2"
"Prevotella_scopos",0,0.858949466206535,0.919036794660782,0.286316488735512,0.592369477911647,"Q4","Q1","Q4"
"Moryella_indoligenes",0,0.855840043591451,0.855653891186718,0.285217963728906,0.590361445783133,"Q4","Q1","Q4"
"Simonsiella_muelleri",0,0.869310508365119,0.830453410867604,0.276817803622535,0.588353413654618,"Q4","Q1","Q4"
