"","GalimanasV_2014","BelstromD_2021","LenartovaM_2021","GanesanS_2020_exposure","CaselliE_2020","GhensiP_2019","AndersonA_2013","GanesanS_2020","ShoerS_2023","MarotzC_2022Su","MonteiroM_2021"
"Solobacterium_moorei",0,0,0,0,0,0,0,0,1,1,1
"Campylobacter_concisus",1,0,0,0,0,0,0,0,0,1,1
"Gemella_morbillorum",0,1,0,1,0,0,0,0,0,1,0
"Prevotella_nigrescens",0,0,0,0,0,0,0,0,1,1,1
"Eikenella_corrodens",1,0,0,0,0,0,0,0,1,0,1
"Fretibacterium_fastidiosum",1,0,0,0,0,0,0,0,0,1,1
"Prevotella_loescheii",1,0,0,0,0,0,0,0,0,1,1
"Atopobium_rimae",0,0,0,0,0,0,0,0,1,1,1
"Streptococcus_anginosus_group",0,0,0,1,0,1,0,0,1,0,0
"Veillonella_dispar",0,0,1,0,0,0,0,0,0,0,1
"Treponema_denticola",0,0,0,0,0,0,0,0,0,1,1
"Eubacterium_yurii",0,0,0,0,0,0,0,0,0,1,1
"Prevotella_denticola",1,0,0,0,0,0,0,0,1,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,1,1,0
"Granulicatella_adiacens",0,0,0,0,0,0,0,0,0,1,1
"Streptococcus_cristatus",0,1,0,0,0,0,0,0,0,0,1
"Haemophilus_parainfluenzae",0,0,1,0,0,0,0,0,0,1,0
"Filifactor_alocis",0,0,0,0,0,0,0,0,0,1,1
"Rothia_mucilaginosa",1,0,0,0,0,0,0,0,0,1,0
"Cardiobacterium_valvarum",0,0,0,0,0,0,0,0,1,0,1
"Selenomonas_flueggei",1,0,0,0,0,0,0,0,1,0,0
"Peptostreptococcus_stomatis",1,0,0,0,0,0,0,0,0,1,0
"Alloprevotella_tannerae",0,0,0,0,0,0,0,0,1,1,0
"Treponema_medium",0,0,0,0,0,0,0,0,0,1,1
"Prevotella_melaninogenica",1,0,1,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,1,0,0,0,0,0,0,0,1
"Streptococcus_anginosus",1,0,0,0,0,0,0,0,0,0,1
"Lachnoanaerobaculum_umeaense",0,0,0,0,0,0,0,0,0,1,1
"Eubacterium_infirmum",0,0,0,0,0,0,0,0,1,1,0
"Selenomonas_artemidis",1,0,0,0,0,0,0,0,0,1,0
"Aggregatibacter_segnis",0,0,0,0,0,0,0,0,1,0,1
"Centipeda_periodontii",1,0,0,0,0,0,0,0,0,1,0
"Prevotella_oulorum",0,0,0,0,0,0,0,0,1,1,0
"Stomatobaculum_longum",0,0,0,0,0,0,0,0,0,1,1
"Actinomyces_sp_oral_taxon_448",0,1,0,0,0,0,0,0,1,0,0
"Leptotrichia_buccalis",0,0,0,0,0,0,0,0,0,1,0
"Prevotella_shahii",0,0,0,0,0,0,0,0,0,0,1
"Prevotella_salivae",0,0,0,0,0,0,0,0,0,1,0
"Anaeroglobus_geminatus",0,0,0,0,0,0,0,0,0,1,0
"Prevotella_veroralis",0,0,0,0,0,0,0,0,0,1,0
"Selenomonas_noxia",0,0,0,0,0,0,0,0,0,1,0
"Porphyromonas_gingivalis",0,0,0,0,0,0,0,0,0,0,1
"Fusobacterium_periodonticum",0,0,1,0,0,0,0,0,0,0,0
"Campylobacter_showae",0,0,0,0,0,0,0,0,1,0,0
"Gemella_haemolysans",0,0,0,0,0,0,0,0,0,1,0
"Actinomyces_viscosus",0,0,0,0,0,0,0,0,0,0,1
"Prevotella_pleuritidis",0,0,0,0,0,0,0,0,0,0,1
"Atopobium_parvulum",1,0,0,0,0,0,0,0,0,0,0
"Treponema_lecithinolyticum",0,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_shahii",0,0,0,0,0,0,0,0,0,1,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0,1,0
"Prevotella_intermedia",0,0,0,0,0,0,0,0,0,1,0
"Bulleidia_extructa",0,0,0,0,0,0,0,0,1,0,0
"Leptotrichia_goodfellowii",0,0,0,0,0,0,0,0,0,0,1
"Abiotrophia_defectiva",0,0,0,0,0,0,0,0,0,1,0
"Mogibacterium_timidum",0,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_trevisanii",1,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_aphrophilus",0,0,0,0,0,0,0,0,0,1,0
"Neisseria_mucosa",0,0,0,0,0,0,0,0,0,0,1
"Kingella_denitrificans",0,0,0,0,0,0,0,0,0,1,0
"Olsenella_profusa",0,0,0,0,0,0,0,0,0,1,0
"Treponema_maltophilum",0,0,0,0,0,0,0,0,0,1,0
"Treponema_vincentii",0,0,0,0,0,0,0,0,0,0,1
"Johnsonella_ignava",0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_johnsonii",0,1,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_170",0,0,0,0,0,0,0,0,1,0,0
"Actinomyces_sp_oral_taxon_180",0,1,0,0,0,0,0,0,0,0,0
"Aggregatibacter_sp_oral_taxon_458",0,0,0,0,0,0,0,0,1,0,0
"Bacteroidetes_oral_taxon_274",0,0,0,0,0,0,0,0,1,0,0
"Leptotrichia_sp_oral_taxon_212",0,0,0,0,0,0,0,0,1,0,0
"Leptotrichia_sp_oral_taxon_225",0,0,0,0,0,0,0,0,1,0,0
"Oribacterium_sp_oral_taxon_078",0,0,0,0,0,0,0,0,1,0,0
"Selenomonas_sp_oral_taxon_920",0,0,0,0,0,0,0,0,1,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,1,0,0,0,0,0,0,0,0,0
