"","ZhangX_2015","SantosA_2021","HavsedK_2021","JulianM_2017_exposure","ChenC_2018","XiaoC_2016","ChenC_2018_exposure","ZhengH_2015","GalimanasV_2014","JiangW_2015","ProctorD_2018","NajmanovaL_2021","YuG_2016","YuG_2016_exposure","CaselliE_2020","ShaiberA_2020a","PangL_2021","HMP_2012","ShaiberA_2020b","ZhangY_2022","FerrerM_2020"
"Capnocytophaga_granulosa",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1
"Kingella_oralis",0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
"Actinomyces_odontolyticus",0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"Selenomonas_noxia",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
"Tannerella_forsythia",1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Streptococcus_oralis",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
"Treponema_socranskii",1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"Prevotella_melaninogenica",0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
"Streptococcus_mitis",0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
"Leptotrichia_buccalis",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"Dialister_invisus",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Lautropia_mirabilis",0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
"Haemophilus_parainfluenzae",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
"Capnocytophaga_ochracea",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"Prevotella_maculosa",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"Campylobacter_concisus",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"Leptotrichia_wadei",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"Prevotella_loescheii",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Prevotella_oulorum",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"Capnocytophaga_leadbetteri",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
"Rothia_mucilaginosa",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"Atopobium_parvulum",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Veillonella_parvula",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
"Selenomonas_infelix",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Oribacterium_sinus",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Gemella_morbillorum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"Prevotella_nigrescens",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Corynebacterium_matruchotii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"Catonella_morbi",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Prevotella_oris",1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Aggregatibacter_segnis",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"Actinomyces_naeslundii",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"Veillonella_dispar",0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Streptococcus_pneumoniae",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Cardiobacterium_valvarum",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
"Actinomyces_georgiae",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Parvimonas_micra",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_endodontalis",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Campylobacter_showae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Leptotrichia_hongkongensis",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gemella_haemolysans",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"Streptococcus_parasanguinis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Peptostreptococcus_stomatis",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Megasphaera_micronuciformis",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Prevotella_saccharolytica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Propionibacterium_propionicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"Neisseria_flavescens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Centipeda_periodontii",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_oris",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Granulicatella_adiacens",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Prevotella_salivae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Peptococcus_niger",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lachnoanaerobaculum_saburreum",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Streptococcus_gordonii",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_periodonticum",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Dialister_pneumosintes",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptotrichia_goodfellowii",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Solobacterium_moorei",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_atypica",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aggregatibacter_aphrophilus",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Eubacterium_infirmum",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Fretibacterium_fastidiosum",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Treponema_maltophilum",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haemophilus_haemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"Veillonella_rogosae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aggregatibacter_actinomycetemcomitans",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_denticola",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Eubacterium_brachy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Eubacterium_yurii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Streptococcus_cristatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Planobacterium_taklimakanense",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_gerencseriae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Filifactor_alocis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptotrichia_hofstadii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Actinomyces_viscosus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Prevotella_intermedia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haemophilus_influenzae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Treponema_medium",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella_elegans",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Streptococcus_thermophilus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Streptococcus_anginosus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lachnoanaerobaculum_umeaense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Kingella_denitrificans",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Olsenella_profusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Selenomonas_artemidis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Streptococcus_infantis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Prevotella_histicola",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Selenomonas_dianae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_johnsonii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Eubacterium_saphenum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_shahii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_denticola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Eubacterium_nodatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroglobus_geminatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_uli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwartzia_succinivorans",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_marshii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Porphyromonas_gingivalis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Slackia_exigua",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_acidifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eubacterium_sulci",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_graevenitzii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas_maltophilia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Prevotella_nanceiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Streptococcus_intermedius",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_flueggei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_shahii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Alloprevotella_tannerae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oligofermentans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_lingnae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_defectiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Haemophilus_sputorum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_rectus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_constellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptotrichia_trevisanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Prevotella_micans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Streptococcus_lactarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Paludibacter_propionicigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Atopobium_rimae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_vincentii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Johnsonella_ignava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Stomatobaculum_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Veillonella_caviae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_hongkongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Actinomyces_sp_oral_taxon_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bacteroidetes_oral_taxon_274",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
