"","AndersonA_2013","GalimanasV_2014","LenartovaM_2021","MarotzC_2022Su","MonteiroM_2021","CaselliE_2020","GanesanS_2020_exposure","GanesanS_2020","GhensiP_2019","BelstromD_2021","ShoerS_2023"
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_parainfluenzae",0,0,1,1,0,0,0,0,0,0,0
"Porphyromonas_gingivalis",0,0,0,0,1,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0
"Filifactor_alocis",0,0,0,1,1,0,0,0,0,0,0
"Rothia_mucilaginosa",0,1,0,1,0,0,0,0,0,0,0
"Lachnoanaerobaculum_saburreum",0,0,0,1,1,0,0,0,0,0,1
"Streptococcus_gordonii",0,0,0,0,1,0,0,0,0,1,1
"Leptotrichia_hofstadii",0,0,0,1,0,0,0,0,0,1,1
"Streptococcus_sanguinis",1,1,1,1,1,0,1,1,0,1,0
"Fusobacterium_periodonticum",0,0,1,0,0,0,0,0,0,0,0
"Campylobacter_showae",0,0,0,0,0,0,0,0,0,0,1
"Tannerella_forsythia",0,0,0,1,1,0,0,0,0,0,1
"Capnocytophaga_granulosa",0,1,0,1,1,0,0,0,0,1,1
"Neisseria_oralis",0,0,0,0,0,0,0,0,0,0,0
"Gemella_haemolysans",0,0,0,1,0,0,0,0,0,0,0
"Slackia_exigua",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_viscosus",0,0,0,0,1,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,1,1,1,0,0,0
"Cardiobacterium_valvarum",0,0,0,0,1,0,0,0,0,0,1
"Prevotella_pleuritidis",0,0,0,0,1,0,0,0,0,0,0
"Propionibacterium_acidifaciens",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oralis",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_rava",0,0,0,0,0,0,0,0,0,0,0
"Atopobium_parvulum",0,1,0,0,0,0,0,0,0,0,0
"Shuttleworthia_satelles",0,0,0,0,0,0,0,0,0,0,0
"Treponema_lecithinolyticum",0,0,0,0,1,0,0,0,0,0,0
"Neisseria_macacae",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_intermedius",0,0,0,0,0,0,0,0,0,0,0
"Treponema_socranskii",0,1,0,1,1,0,0,0,0,0,1
"Dialister_pneumosintes",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_flueggei",0,1,0,0,0,0,0,0,0,0,1
"Peptostreptococcus_stomatis",0,1,0,1,0,0,0,0,0,0,0
"Leptotrichia_shahii",0,0,0,1,0,0,0,0,0,0,0
"Capnocytophaga_ochracea",0,1,1,1,1,0,1,0,0,0,1
"Gemella_sanguinis",0,0,0,1,0,0,0,0,0,0,0
"Prevotella_intermedia",0,0,0,1,0,0,0,0,0,0,0
"Prevotella_fusca",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sputigena",0,1,0,1,1,0,0,0,0,0,1
"Veillonella_rodentium",0,0,0,0,0,0,0,0,0,0,0
"Bulleidia_extructa",0,0,0,0,0,0,0,0,0,0,1
"Haemophilus_parahaemolyticus",0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_tannerae",0,0,0,1,0,0,0,0,0,0,1
"Actinomyces_georgiae",0,1,0,1,1,0,0,0,0,0,0
"Prevotella_maculosa",0,1,0,1,1,0,0,0,0,0,1
"Capnocytophaga_haemolytica",0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,1,0,1,0,1,0,0,0,1
"Capnocytophaga_sputigena",0,1,0,1,1,0,0,0,0,1,1
"Propionibacterium_acnes",0,0,0,0,0,0,0,0,0,0,0
"Treponema_medium",0,0,0,1,1,0,0,0,0,0,0
"Selenomonas_infelix",0,1,0,1,1,0,0,0,0,0,0
"Leptotrichia_goodfellowii",0,0,0,0,1,0,0,0,0,0,0
"Neisseria_elongata",0,0,0,1,0,0,0,0,0,1,1
"Oribacterium_sinus",0,1,0,1,1,0,0,0,0,0,0
"Solobacterium_moorei",0,0,0,1,1,0,0,0,0,0,1
"Eggerthia_catenaformis",0,0,0,0,0,0,0,0,0,0,0
"Granulicatella_elegans",0,0,0,0,0,0,0,0,0,0,0
"Neisseria_subflava",0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_concisus",0,1,0,1,1,0,0,0,0,0,0
"Prevotella_melaninogenica",0,1,1,0,0,0,0,0,0,0,0
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0,0,0
"Cryptobacterium_curtum",0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_defectiva",0,0,0,1,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,1,0,0,1,0,0,1,0
"Haemophilus_sputorum",0,0,0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_gracilis",0,1,0,1,1,0,1,0,0,0,1
"Streptococcus_australis",0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_rectus",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_constellatus",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_nigrescens",0,0,0,1,1,0,0,0,0,0,1
"Corynebacterium_matruchotii",0,1,0,1,1,0,0,0,0,0,1
"Eikenella_corrodens",0,1,0,0,1,0,0,0,0,0,1
"Parvimonas_micra",0,1,0,1,1,0,1,0,0,0,1
"Scardovia_wiggsiae",0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_nucleatum",0,1,1,1,1,0,1,0,1,1,1
"Prevotella_saccharolytica",0,1,0,1,1,0,0,0,0,0,1
"Catonella_morbi",0,1,0,1,1,0,0,0,0,0,1
"Morococcus_cerebrosus",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_massiliensis",0,1,0,1,1,0,0,0,0,1,1
"Streptococcus_salivarius",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_buccae",0,0,0,0,0,0,0,0,0,0,0
"Pseudoramibacter_alactolyticus",0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium_timidum",0,0,0,0,1,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,1,0,1,0,0,0,0,0,0
"Propionibacterium_propionicum",0,0,0,1,1,0,0,0,0,1,1
"Neisseria_flavescens",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus",0,1,0,0,1,0,0,0,0,0,0
"Leptotrichia_trevisanii",0,1,0,0,0,0,0,0,0,0,0
"Leptotrichia_wadei",0,0,0,1,1,0,0,0,0,1,1
"Streptococcus_mitis",0,0,1,1,0,1,1,0,0,1,0
"Prevotella_oris",0,0,0,1,1,0,1,0,0,0,1
"Porphyromonas_catoniae",0,1,1,1,1,0,0,0,0,0,1
"Aggregatibacter_aphrophilus",0,0,0,1,0,0,0,0,0,0,0
"Lachnoanaerobaculum_umeaense",0,0,0,1,1,0,0,0,0,0,0
"Eubacterium_infirmum",0,0,0,1,0,0,0,0,0,0,1
"Neisseria_mucosa",0,0,0,0,1,0,0,0,0,0,0
"Prevotella_micans",0,0,0,0,0,0,0,0,0,0,0
"Kingella_denitrificans",0,0,0,1,0,0,0,0,0,0,0
"Corynebacterium_durum",0,1,0,1,1,0,0,0,0,1,1
"Neisseria_bacilliformis",0,0,0,0,0,0,0,0,0,0,0
"Kingella_oralis",0,1,1,1,1,0,0,0,0,1,1
"Cardiobacterium_hominis",0,1,0,1,0,0,0,0,0,1,1
"Fretibacterium_fastidiosum",0,1,0,1,1,0,0,0,0,0,0
"Olsenella_profusa",0,0,0,1,0,0,0,0,0,0,0
"Selenomonas_artemidis",0,1,0,1,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_histicola",0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_segnis",0,0,0,0,1,0,0,0,0,0,1
"Prevotella_multiformis",0,0,0,0,0,0,0,0,0,0,0
"Centipeda_periodontii",0,1,0,1,0,0,0,0,0,0,0
"Actinomyces_naeslundii",0,1,0,1,1,0,0,0,0,0,1
"Capnocytophaga_gingivalis",0,1,1,1,1,0,0,0,0,1,1
"Prevotella_loescheii",0,1,0,1,1,0,0,0,0,0,0
"Veillonella_tobetsuensis",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oulorum",0,0,0,1,0,0,0,0,0,0,1
"Atopobium_rimae",0,0,0,1,1,0,0,0,0,0,1
"Treponema_maltophilum",0,0,0,1,0,0,0,0,0,0,0
"Treponema_vincentii",0,0,0,0,1,0,0,0,0,0,0
"Haemophilus_haemolyticus",0,0,0,0,0,0,0,0,0,0,0
"Johnsonella_ignava",0,0,0,0,1,0,0,0,0,0,0
"Stomatobaculum_longum",0,0,0,1,1,0,0,0,0,0,0
"Actinomyces_johnsonii",0,0,0,0,0,0,0,0,0,1,0
"Porphyromonas_somerae",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_sp_HMSC24B09",0,0,0,0,0,0,0,0,0,0,0
"Actinobaculum_sp_oral_taxon_183",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_170",0,0,0,0,0,0,0,0,0,0,1
"Actinomyces_sp_oral_taxon_180",0,0,0,0,0,0,0,0,0,1,0
"Actinomyces_sp_oral_taxon_414",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,1,1
"Actinomyces_sp_oral_taxon_897",0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_sp_oral_taxon_458",0,0,0,0,0,0,0,0,0,0,1
"Bacteroidetes_oral_taxon_274",0,0,0,0,0,0,0,0,0,0,1
"Capnocytophaga_sp_oral_taxon_332",0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_sp_oral_taxon_338",0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_sp_oral_taxon_212",0,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_sp_oral_taxon_215",0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_sp_oral_taxon_225",0,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_sp_oral_taxon_879",0,0,0,0,0,0,0,0,0,0,0
"Neisseria_sp_oral_taxon_014",0,0,0,0,0,0,0,0,0,0,0
"Oribacterium_sp_oral_taxon_078",0,0,0,0,0,0,0,0,0,0,1
"Ottowia_sp_oral_taxon_894",0,0,0,0,0,0,0,0,0,0,0
"Parvimonas_sp_oral_taxon_110",0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_sp_oral_taxon_278",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_F0091",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sp_FOBRC6",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sp_oral_taxon_126",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sp_oral_taxon_138",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sp_oral_taxon_892",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_sp_oral_taxon_920",0,0,0,0,0,0,0,0,0,0,1
"Streptococcus_anginosus_group",0,0,0,0,0,0,1,0,1,0,1
"Streptococcus_sp_oral_taxon_056",0,0,0,0,0,0,0,0,0,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,0,0,0,0,0,0,0,0,1,0
"Treponema_sp_OMZ_838",0,0,0,0,0,0,0,0,0,0,0
