"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Lachnoanaerobaculum_orale",NA,NA,-3,NA,-1,-1,-1,NA,-1,1,-1,-1,1,1,1,1,-1,NA,-3,-1,-1,1,-1,NA,-3,NA,-3,NA,-2,-1,-1,-1,-1,1,-1,3,NA,3
"Bacillus_pumilus",NA,NA,3,1,NA,-1,-1,NA,-1,-1,NA,-3,-1,-1,-1,1,-1,NA,-2,3,2,NA,NA,NA,1,NA,NA,NA,-1,-1,NA,-1,-1,1,3,-1,NA,-2
"Orientia_tsutsugamushi",NA,1,NA,-1,NA,-1,3,NA,1,-2,3,-1,2,-1,-1,NA,3,NA,1,NA,-1,-2,3,NA,-1,NA,-1,NA,-1,-1,1,3,-1,-1,-1,3,NA,NA
"Terrahaemophilus_aromaticivorans",NA,2,NA,NA,-2,1,-1,NA,-2,-3,2,NA,1,1,-1,1,NA,NA,-1,1,NA,1,2,NA,-1,NA,1,NA,1,1,1,1,-1,1,-1,-2,NA,-1
"Propionigenium_maris",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,-1,1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,-1,1,NA,NA
"Mogibacterium_diversum",1,1,-2,NA,-1,1,1,-1,1,-2,NA,NA,-1,1,NA,-1,NA,3,-1,NA,NA,-1,1,NA,-1,1,1,2,1,1,1,1,NA,-1,2,-1,NA,1
"Actinomyces_meyeri",-1,1,-2,-1,-1,-1,1,-2,2,-1,-2,NA,-1,1,1,-1,-1,-1,1,1,-1,1,1,3,-1,3,1,1,-1,1,-1,-1,-1,-1,1,-3,NA,-1
"Bergeyella_zoohelcum",NA,NA,1,-1,-1,NA,-1,NA,1,1,NA,NA,1,-1,-1,NA,NA,NA,-1,3,NA,NA,-1,NA,-1,NA,1,NA,1,-3,1,-1,NA,1,1,3,NA,-1
"Actinomyces_bowdenii",NA,NA,1,1,NA,-1,1,NA,2,-1,-3,-1,1,-1,NA,-1,-1,NA,1,NA,1,-1,-1,NA,-1,NA,1,NA,1,-1,NA,-1,NA,-1,1,-1,NA,-2
"Prevotella_salivae",-1,1,-3,-1,2,-1,-1,-3,-1,1,-1,3,3,-1,-2,-1,-1,-1,-1,-2,-1,-1,3,1,-1,1,-1,1,-1,-1,-1,-2,-1,-1,3,-1,NA,-1
"Actinobaculum_massiliense",NA,-1,-2,1,NA,1,1,NA,1,1,3,NA,-1,1,-1,NA,1,NA,-1,NA,1,-2,1,NA,-3,NA,1,NA,1,-1,1,-2,-1,1,-1,-1,NA,-1
"Mannheimia_granulomatis",NA,1,NA,-1,NA,-1,-1,NA,-1,2,NA,NA,1,-1,1,1,1,NA,NA,NA,NA,3,-1,NA,1,NA,-1,NA,-1,2,1,NA,NA,1,2,3,NA,1
"Eubacterium_nodatum",-3,1,1,1,-1,-1,-1,-1,1,1,2,3,-1,1,1,-1,3,-1,3,1,-1,-1,-1,NA,-3,-1,-1,-2,2,-3,1,1,-1,3,-1,3,NA,-1
"Planobacterium_taklimakanense",NA,1,1,1,NA,1,1,NA,-1,-1,-1,2,-1,1,-2,-1,-1,NA,1,-1,1,-1,1,-1,1,NA,-2,NA,1,1,3,1,1,1,1,-1,NA,2
"Ornatilinea_apprima",NA,NA,3,NA,NA,NA,-1,NA,1,-1,NA,-1,-1,NA,NA,NA,-1,NA,1,NA,1,-1,1,NA,-3,NA,NA,NA,1,NA,NA,1,-1,1,-1,3,NA,1
"Neisseria_pharyngis",NA,NA,3,NA,NA,NA,-1,NA,2,-2,NA,NA,1,-1,1,-2,3,NA,1,NA,-1,NA,NA,NA,1,NA,NA,NA,1,-1,-1,-1,2,NA,3,-3,NA,-1
"Anaeroglobus_geminatus",-1,3,-1,-1,1,-1,-1,-1,1,-1,1,3,-1,3,1,-1,3,-1,-1,1,1,1,-3,-1,-3,-1,-1,1,1,1,-1,-1,2,-2,1,-3,NA,1
"Olsenella_uli",-1,3,-1,-1,-1,-1,1,1,3,-1,-1,3,-1,1,-1,1,1,3,-1,1,1,1,-3,-1,-3,-1,-1,-1,1,1,1,-1,-1,-1,1,-3,NA,-1
"Lactobacillus_johnsonii",NA,3,-1,-1,-1,-1,-1,NA,-1,1,-1,-3,-1,-1,-2,NA,1,NA,-2,NA,1,-1,-1,NA,-1,NA,-3,-1,1,1,-1,-1,1,-3,1,-3,NA,1
"Prevotella_veroralis",1,1,-3,-1,1,1,3,-1,1,-1,1,3,3,1,-1,1,-1,1,-1,1,-3,-1,-1,3,-1,-1,-1,3,1,-1,-1,-1,-1,-1,1,3,NA,-1
"Dialister_propionicifaciens",NA,1,2,1,-1,-1,-2,NA,1,-1,3,NA,1,1,NA,-1,3,NA,1,NA,-1,1,1,NA,-1,NA,1,NA,-1,-1,1,-1,-1,1,1,-1,NA,1
"Rothia_dentocariosa",1,-1,1,1,-1,-1,-1,1,-1,-1,-1,3,-1,1,-1,-1,-1,1,-1,1,-1,1,-3,-1,-1,1,-1,-1,1,1,1,1,1,3,-1,-3,NA,1
"Mycoplasma_faucium",NA,NA,1,NA,-1,NA,NA,NA,-1,1,NA,NA,-1,NA,-1,-1,2,NA,3,1,-1,NA,NA,NA,-3,NA,NA,NA,3,-3,-1,-1,1,NA,1,3,NA,1
"Mycoplasma_hyosynoviae",NA,NA,-2,-1,NA,-1,-1,NA,-1,2,2,-1,1,NA,-1,NA,NA,NA,1,NA,NA,1,-2,NA,-1,NA,-1,NA,1,-2,NA,-1,NA,-1,-1,1,NA,NA
"Azospira_oryzae",NA,NA,-1,NA,-1,NA,NA,NA,1,-1,NA,-2,-1,1,1,1,2,NA,2,NA,1,1,-1,NA,NA,NA,NA,NA,1,-1,NA,-1,1,NA,-1,1,NA,NA
"Alysiella_crassa",NA,-1,NA,1,1,1,2,NA,3,-1,1,NA,-1,-2,-1,1,1,NA,-1,1,1,-1,2,NA,NA,NA,1,NA,NA,NA,NA,-1,-1,-1,1,3,NA,NA
"Prevotella_dentalis",-1,NA,-1,1,-1,1,1,1,-1,1,3,NA,-1,NA,1,1,1,-3,1,3,1,-1,-1,NA,-2,-1,1,-3,1,-1,-1,1,1,-1,-1,3,NA,1
"Acidithiobacillus_thiooxidans",NA,NA,-1,NA,NA,NA,NA,NA,1,-1,NA,-1,1,-1,-1,-1,NA,NA,1,NA,-1,NA,NA,NA,-1,NA,NA,NA,1,-1,3,-1,1,NA,-1,3,NA,1
"Corynebacterium_jeikeium",NA,-1,1,-1,-1,1,1,NA,1,-1,1,NA,1,1,-1,NA,-1,NA,1,NA,-1,-3,-1,NA,1,NA,1,NA,3,1,NA,-1,-1,-1,1,-1,NA,1
"Peptococcus_niger",NA,-1,1,1,-1,-1,-1,NA,2,1,1,3,-1,-1,-1,1,3,NA,-1,1,1,1,-3,1,1,NA,-1,NA,-1,-1,2,3,-1,1,-2,-3,NA,-1
"Acinetobacter_baumannii",NA,1,-3,2,-1,NA,-1,NA,NA,-1,NA,-2,-1,1,NA,NA,-1,NA,-1,-1,NA,-1,1,NA,-1,NA,-1,NA,NA,3,NA,-1,-1,1,3,-3,NA,1
"Treponema_refringens",NA,-1,3,-1,1,1,2,NA,2,1,1,NA,1,1,-1,2,1,NA,1,-1,1,-3,3,-1,1,NA,1,NA,-1,-1,3,1,1,-1,-1,3,NA,NA
"Treponema_pedis",NA,1,1,1,-1,-1,-1,NA,1,-1,3,3,1,-1,-1,1,NA,NA,1,NA,-1,1,3,NA,-1,NA,1,NA,1,-1,-1,1,-3,1,-1,3,NA,NA
"Campylobacter_curvus",NA,-1,-1,2,-1,-1,-1,1,1,1,1,NA,-1,1,1,-1,3,1,-2,NA,1,-1,-3,1,-1,-1,1,NA,3,-1,1,3,2,-1,-1,-1,NA,-1
"Prevotella_bivia",NA,-1,-3,1,-3,-1,1,-3,-1,1,-1,-1,1,1,-1,1,1,NA,2,NA,1,1,-3,NA,-1,NA,-1,NA,1,-1,-1,-1,NA,1,-1,-1,NA,2
"Mycoplasma_feliminutum",NA,NA,1,NA,NA,NA,-1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-1,NA,-1,1,NA,NA
"Streptococcus_pneumoniae",NA,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,1,-1,2,1,1,-1,-1,-2,-1,1,-1,1,-1,-1,-1,-1,NA,-1,-3,1,1,-1,-1,1,-3,NA,1
"Schwartzia_succinivorans",NA,1,-1,-1,1,-3,-1,NA,2,-1,1,-1,1,1,-2,-1,3,NA,1,1,-1,-3,-3,NA,-3,NA,-3,NA,-1,-1,1,-1,1,-1,3,3,NA,1
"Actinomyces_hyovaginalis",NA,1,NA,NA,NA,-1,-1,NA,-1,1,3,NA,1,NA,NA,NA,-1,NA,1,NA,1,1,1,NA,-3,NA,-1,NA,1,-1,NA,1,-2,1,NA,1,NA,-1
"Prevotella_marshii",-1,1,-1,-1,-1,-1,-1,-2,1,1,2,-1,-2,1,-3,-1,3,-3,1,1,1,-3,-1,-1,-1,-1,1,1,2,-3,1,-1,1,-1,-1,3,NA,1
"Treponema_parvum",NA,-1,-1,1,1,-3,-1,NA,-1,1,-1,1,-1,1,-1,1,2,NA,3,-1,1,-3,-3,NA,-3,NA,1,NA,1,1,-1,-1,1,-1,-1,3,NA,NA
"Lautropia_mirabilis",-1,1,-1,1,-1,1,-1,2,3,-1,-1,-1,1,1,-2,-1,3,1,1,-1,-1,1,-1,1,1,-3,-1,1,1,1,-1,-1,1,-3,1,-1,NA,2
"Barnesiella_intestinihominis",NA,-1,-1,-1,-3,1,-1,NA,-1,3,NA,-3,-1,NA,NA,NA,3,NA,NA,NA,1,NA,-3,NA,-1,NA,1,NA,3,1,-1,-1,1,-1,-2,-1,NA,NA
"Actinobacillus_rossii",NA,-2,1,2,NA,3,3,NA,1,-2,-1,-1,1,-3,-1,3,1,NA,2,NA,-1,-1,-1,-1,1,NA,1,NA,1,1,1,1,3,1,3,1,NA,-1
"Actinomyces_gerencseriae",NA,3,-1,-1,-1,1,1,NA,3,-1,-1,1,1,-2,-1,-1,-1,NA,1,3,1,1,-1,-3,-1,NA,1,NA,1,-1,1,1,-1,-3,1,-1,NA,-1
"Bacteroides_stercoris",NA,3,3,1,-2,NA,-1,NA,-1,3,NA,-3,NA,NA,NA,NA,3,NA,-1,NA,NA,NA,-3,NA,-1,NA,NA,NA,-1,1,1,-1,NA,1,-3,-1,NA,-1
"Neisseria_shayeganii",NA,NA,3,2,-1,1,1,NA,3,1,3,-1,-1,1,-1,-1,1,NA,-1,-1,-1,1,-1,NA,-1,NA,1,NA,1,-1,1,-3,-1,-1,-1,3,NA,1
"Selenomonas_noxia",1,1,-3,-1,-2,1,2,-1,1,1,1,-1,2,1,-1,1,3,-1,1,1,-1,-1,1,1,-1,-1,-3,-1,1,-1,-1,-1,-1,1,1,3,NA,1
"Bifidobacterium_dentium",-1,1,-3,-1,NA,-2,-3,1,1,-1,1,1,-2,NA,-3,1,1,3,-3,NA,1,-1,-3,1,-2,-2,-1,1,-1,1,-1,-2,-1,-3,1,-1,NA,-1
"Gemmatimonas_aurantiaca",NA,NA,3,-1,NA,NA,-1,NA,-1,NA,NA,-1,NA,1,-1,-1,2,NA,-1,NA,NA,1,-1,NA,-1,NA,NA,NA,1,1,-1,-1,NA,NA,1,NA,NA,1
"Haemophilus_parainfluenzae",2,2,3,3,1,3,-2,1,1,-3,-1,-1,-1,-1,1,3,3,3,3,1,1,1,3,-1,1,-1,3,2,3,1,3,1,3,3,3,-1,NA,1
"Porphyromonas_gingivalis",-1,1,-1,1,-3,-1,1,1,-1,-1,-1,3,-1,-1,-1,1,3,-2,3,3,-1,1,1,-1,-3,-1,-3,-3,1,1,-1,-1,1,1,3,3,NA,3
"Streptococcus_sobrinus",-3,NA,1,-1,-1,-1,-1,1,-1,-1,-1,3,1,1,1,-1,-1,1,3,1,-1,-1,3,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,NA,-1
"Pseudomonas_stutzeri",NA,NA,1,NA,NA,NA,NA,NA,-1,-1,NA,1,NA,NA,-3,NA,1,NA,1,1,NA,2,NA,1,-1,NA,NA,NA,NA,NA,NA,-1,NA,-1,-1,1,NA,-1
"Acinetobacter_junii",NA,NA,-2,NA,NA,NA,-2,NA,NA,1,NA,-1,NA,1,NA,NA,3,NA,1,-1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,-1,1,NA,1,-1,NA,-1
"Bacteroides_acidifaciens",NA,-1,1,1,-1,-1,1,NA,2,-1,-1,-1,1,-1,1,NA,3,NA,1,NA,1,-2,-2,-1,1,NA,1,NA,1,1,-1,-1,1,-1,1,-1,NA,NA
"Prevotella_amnii",NA,1,1,1,NA,NA,NA,NA,3,-1,3,3,-1,-1,1,1,1,NA,-1,NA,-1,-1,1,NA,NA,NA,NA,NA,1,1,NA,-1,-1,1,2,1,NA,-1
"Streptococcus_agalactiae",NA,-1,1,-1,-1,NA,-1,-3,1,1,-1,-1,1,-1,NA,NA,-3,NA,-1,2,NA,-1,-2,NA,1,NA,1,NA,-1,1,NA,-3,NA,1,3,-2,NA,-1
"Treponema_bryantii",NA,NA,-1,NA,-1,NA,NA,NA,1,1,NA,-1,-3,1,NA,1,-1,NA,3,1,1,NA,-1,NA,-2,NA,NA,NA,1,1,1,-1,1,NA,-3,1,NA,NA
"Bacteroides_intestinalis",NA,-1,1,3,-3,2,-1,NA,-1,3,-1,-3,-1,-1,-1,1,3,NA,-1,NA,-1,-1,-3,-1,-1,NA,1,NA,3,3,1,-2,-1,1,-1,-1,NA,NA
"Filifactor_alocis",-3,-1,1,-1,-1,-1,3,-2,1,1,1,3,-1,1,1,1,3,-3,1,1,-1,-1,-3,2,-3,1,-3,-3,1,-1,-1,1,-1,3,-1,3,NA,1
"Prevotella_copri",NA,3,1,1,-2,-1,-1,NA,3,3,2,-3,-1,1,NA,NA,3,NA,1,1,NA,NA,-3,NA,-1,NA,1,NA,1,1,NA,-1,NA,1,1,1,NA,NA
"Odoribacter_denticanis",NA,1,-1,1,-1,-1,-1,NA,-1,-1,-1,3,-1,NA,-1,NA,-1,NA,1,1,NA,-1,-1,NA,-1,NA,NA,NA,1,-2,NA,-1,-1,NA,-1,3,NA,1
"Bacteroides_heparinolyticus",NA,1,1,1,-1,-1,-1,1,-1,1,-1,3,-2,NA,-3,NA,3,-1,-1,1,-1,-3,-3,-1,-1,NA,1,NA,1,-1,NA,-1,-1,1,3,3,NA,-1
"Rothia_mucilaginosa",1,-1,3,-3,3,1,2,3,-1,-3,-1,-1,-1,-1,-2,1,-3,1,1,1,1,1,3,1,1,3,1,-1,-3,-1,1,-1,1,1,-2,3,NA,-1
"Lachnoanaerobaculum_saburreum",1,-1,-3,-1,1,1,3,-1,1,1,1,-1,1,3,1,-1,1,3,-1,1,1,1,2,1,3,-1,-1,3,-1,-1,1,1,-1,-1,-3,3,NA,3
"Acinetobacter_lwoffii",NA,NA,1,1,NA,-1,-2,NA,-1,NA,NA,2,-1,-1,1,NA,1,NA,-1,1,NA,-1,1,-1,-1,NA,NA,NA,NA,1,-1,-1,1,-1,1,-3,NA,-1
"Brachymonas_denitrificans",NA,-1,-1,1,2,-1,-1,NA,2,1,-1,-1,-1,1,1,-1,3,NA,-3,1,-1,-1,-1,-1,-2,NA,1,NA,1,-1,-1,-1,-3,-1,1,3,NA,-1
"Prevotella_paludivivens",NA,1,-1,-1,1,-1,1,NA,-1,1,NA,-1,-2,NA,-1,NA,1,NA,2,NA,1,-1,-2,-1,-3,NA,1,NA,3,1,NA,-1,-1,3,1,3,NA,1
"Streptococcus_gordonii",1,-2,-1,-2,1,3,-1,1,-1,-3,-1,1,-1,2,1,-1,-1,-1,1,1,-1,-1,-1,-1,-2,1,-1,-1,-1,-1,1,-1,-1,1,-3,-1,NA,-1
"Leptotrichia_hofstadii",-1,1,-1,-1,-1,1,3,1,-1,-1,2,-1,1,1,-3,-1,3,-1,-2,-1,-1,1,3,-1,1,-1,2,3,-1,1,2,-1,-1,-1,1,3,NA,1
"Bacteroides_zoogleoformans",NA,-1,-1,-1,-1,1,1,-3,1,3,-1,3,-1,NA,-1,NA,NA,NA,-1,1,1,-1,1,NA,-1,NA,-1,NA,-1,-1,NA,-1,1,3,-1,3,NA,-1
"Natranaerovirga_hydrolytica",NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,-1,NA,1,-1,NA,1,3,NA,NA
"Mogibacterium_neglectum",NA,NA,-1,NA,-1,NA,NA,NA,-1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,-1,-1,NA,-1,NA,-2,NA,NA,-1,1,-1,NA,NA,NA,1,NA,-1
"Campylobacter_mucosalis",NA,-1,NA,-1,1,-1,3,NA,3,1,1,NA,3,-1,1,NA,1,NA,-1,NA,NA,1,3,NA,-1,NA,1,NA,NA,-1,-3,1,1,-3,1,1,NA,NA
"Peptoniphilus_lacrimalis",-1,1,1,NA,1,-3,-1,1,-1,3,-1,3,1,NA,NA,-1,NA,NA,NA,NA,-1,NA,-2,-1,-1,-3,1,1,-1,NA,-1,-1,1,-2,1,1,NA,-1
"Streptococcus_sanguinis",-1,-1,1,1,-1,1,-2,3,-1,1,-1,3,-1,-1,-1,-1,3,3,1,1,-1,1,-1,-1,1,1,-1,3,1,1,1,-1,1,-1,1,-3,NA,1
"Eubacterium_rectale",NA,1,-3,1,-3,-2,1,NA,1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,1,-1,-1,NA,1,-3,NA,NA,1
"Fusobacterium_periodonticum",-1,-2,2,1,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,3,3,1,-1,1,-1,3,3,1,1,1,3,-1,1,3,1,3,3,-3,3,NA,1
"Eubacterium_minutum",NA,-1,1,-1,NA,-1,-1,-1,-1,-1,1,NA,-1,1,1,-1,-1,2,-1,NA,NA,-3,1,NA,-3,1,1,-1,1,-2,NA,1,-1,1,2,3,NA,-1
"Sporanaerobacter_acetigenes",NA,NA,-1,NA,NA,NA,NA,NA,2,1,NA,-1,1,NA,-2,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,NA,NA,1,1,1,1,1,NA,2,3,NA,-1
"Desulfomicrobium_orale",-1,-1,-1,1,NA,1,3,1,1,-1,-1,3,1,NA,NA,1,NA,-1,1,NA,NA,1,3,NA,-1,1,1,NA,1,-1,NA,1,1,3,1,3,NA,-1
